1stFlrSF,GarageArea,GrLivArea,YearBuilt
1828,774,1828,2007
894,308,894,1962
964,432,964,1921
1689,857,1689,2002
1541,843,1541,2001
1221,400,1221,2004
1324,440,1324,1965
696,484,1416,1999
526,297,988,1973
869,440,1218,1941
760,397,1656,2003
1362,460,1362,2005
1051,442,1839,1966
1375,451,1375,1954
1122,528,1122,1948
1432,588,1432,1978
728,400,1456,2007
1217,497,1217,1990
1040,625,1040,1950
612,528,1224,2009
1022,468,1774,1931
961,384,1367,1900
803,297,1360,1938
848,420,848,2004
1482,749,2262,2003
1220,396,1220,1951
1414,398,1414,2004
1134,396,2058,1917
1088,0,1198,1920
1659,499,1659,2000
1012,308,1012,1920
1687,672,3082,1920
1032,672,1812,1900
1057,650,1929,2001
954,576,954,1976
1838,765,1838,2006
1640,924,1640,1954
1148,672,1148,1959
950,280,950,1971
1065,471,1911,1993
915,440,1635,1923
1316,440,1316,2007
1442,615,1442,1970
1078,500,1078,1971
1120,544,1120,1961
779,527,1419,2002
707,240,1389,1946
1063,280,1063,1954
1792,874,1792,2003
1216,402,1216,1998
998,576,1762,1920
847,434,1959,2004
1208,546,1208,1977
874,315,1524,1958
796,240,1154,1922
1048,420,1048,1950
886,273,886,1938
943,600,943,1979
866,603,1768,2005
1422,779,2599,1999
912,275,912,1958
882,308,882,1956
1337,511,1337,1998
2076,850,2076,2006
1328,752,2531,1995
981,240,1768,1937
1625,538,1625,2006
1444,389,2144,1958
1521,880,2775,1893
1140,477,1868,1984
1525,541,1525,2000
1571,722,1571,2007
796,0,796,1910
1378,432,2372,1892
802,402,1472,1991
960,364,960,1965
734,372,1838,2005
1309,484,1309,1974
2069,694,2643,2006
676,200,1131,1941
960,400,1960,1952
1144,336,1144,1963
1056,576,1056,1980
693,0,693,1941
1494,576,1494,1997
1646,482,1646,2004
864,352,864,1972
1566,750,1566,2008
735,497,1395,1972
848,539,1208,1925
939,180,1513,1920
959,560,1367,1931
955,386,955,1966
1077,210,1077,1922
1056,572,1056,1955
756,615,1553,2005
1614,865,1614,2005
2042,1390,2042,2008
1073,326,1073,1921
1072,240,1285,1948
2117,550,2117,1970
605,0,605,1920
1150,300,1150,1959
728,400,1456,2005
999,588,999,1961
750,564,1500,2005
1336,375,1336,1953
864,398,1593,2004
1130,836,2184,2008
1560,573,1560,2003
888,312,1644,1942
630,286,630,1970
1113,504,1113,1976
1071,947,2172,2006
796,384,1346,1910
1184,550,2610,2007
1026,936,1958,2005
1468,898,1468,2008
1302,539,1734,1977
768,240,1200,1946
1112,438,1550,2006
954,440,2230,1912
1166,240,1639,1936
864,624,864,1958
1621,440,1621,1984
483,264,987,1972
1238,628,2519,1989
765,440,1365,1970
1149,779,2290,2002
1249,840,2596,2006
907,352,907,1957
855,440,1456,1976
1190,540,1190,1962
858,684,858,1971
2223,516,2223,1973
1005,672,1005,1955
1086,409,1895,1994
1040,384,1040,1965
1264,461,1264,1960
874,578,1761,2007
1034,888,1034,1976
1363,439,1363,1954
1689,480,1689,1956
2113,839,2113,1995
1573,544,1573,2002
2364,820,2364,2009
1057,645,2034,1997
1291,431,1291,1996
858,0,858,1958
698,280,1258,1939
438,246,438,1920
672,440,1400,1978
954,240,954,1938
1445,645,1445,1964
1072,525,1072,2005
1664,0,1664,1965
1445,441,2134,1916
1940,380,3194,1934
912,0,1824,1971
888,422,1756,1996
912,576,912,1965
1509,600,1509,1988
1160,216,1608,1925
1316,397,1316,2005
1015,450,1015,1925
756,240,1134,1940
1636,865,1636,2006
660,400,1320,2003
1160,538,2126,1967
1128,525,1128,1963
1306,756,1306,1957
798,0,1344,1970
1576,704,2554,1890
893,576,893,1949
894,668,1933,2007
672,264,1218,1973
1161,534,1969,1977
1220,556,2090,1995
1484,487,1484,1971
1656,506,1656,1973
818,210,1224,1926
1022,390,2054,2000
854,576,854,1929
546,286,1092,1973
1268,252,1268,1977
827,550,1661,1996
1668,502,1668,2003
1493,508,1493,1997
932,306,932,1950
1277,526,1277,1970
1530,630,1530,2004
1344,484,1344,1958
860,528,860,1982
1314,626,1314,2007
1391,868,1962,2006
788,388,1490,2004
848,420,848,2004
672,240,672,1940
1188,252,2340,1941
808,180,1656,1916
725,484,1479,1972
1226,740,1226,2009
976,444,2087,1966
1158,576,1158,2004
1154,480,1154,1966
880,527,1724,1998
773,431,1658,1995
1126,520,1126,1949
872,300,1393,1955
1968,1014,3447,1935
483,264,987,1973
808,0,1355,1940
2069,505,2069,1960
757,440,1501,1999
1976,908,1976,2006
1563,758,1563,2007
572,288,1111,1926
851,270,1502,1931
1733,452,1733,1955
1848,706,2728,2005
630,264,1302,1972
1332,586,1524,1979
1120,680,1588,1959
1125,430,1125,2006
520,480,1200,2005
798,520,1640,2004
1223,525,2127,1994
972,240,972,1948
1142,466,2020,1995
